mission_name,upcoming,launch_date,rocket_name,payload,launch_site_name,launch_site_name_long,launch_success,launch_state
BulgariaSat-1,FALSE,"June 23, 2017",Falcon 9,BulgariaSat-1,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
Iridium NEXT Mission 2,FALSE,"June 25, 2017",Falcon 9,Iridium NEXT 2,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
Intelsat 35e,FALSE,"July 5, 2017",Falcon 9,Intelsat 35e,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
CRS-12,FALSE,"August 14, 2017",Falcon 9,CRS-12,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
FormoSat-5,FALSE,"August 24, 2017",Falcon 9,FormoSat-5,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
Boeing X-37B OTV-5,FALSE,"September 7, 2017",Falcon 9,X-37B OTV-5,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
Iridium NEXT Mission 3,FALSE,"October 9, 2017",Falcon 9,Iridium NEXT 3,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
SES-11 / Echostar 105,FALSE,"October 11, 2017",Falcon 9,SES-11 / Echostar 105,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
KoreaSat 5A,FALSE,"October 30, 2017",Falcon 9,KoreaSat 5A,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
CRS-13,FALSE,"December 15, 2017",Falcon 9,CRS-13,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Iridium NEXT Mission 4,FALSE,"December 22, 2017",Falcon 9,Iridium NEXT 4,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
ZUMA,FALSE,"January 7, 2018",Falcon 9,ZUMA,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
SES-16 / GovSat-1,FALSE,"January 31, 2018",Falcon 9,GovSat-1,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Falcon Heavy Test Flight,FALSE,"February 6, 2018",Falcon Heavy,Tesla Roadster,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
Paz / Starlink Demo,FALSE,"February 22, 2018",Falcon 9,Paz,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
Hispasat 30W-6,FALSE,"March 6, 2018",Falcon 9,Hispasat 30W-6,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Iridium NEXT Mission 5,FALSE,"March 30, 2018",Falcon 9,Iridium NEXT 5,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
CRS-14,FALSE,"April 2, 2018",Falcon 9,CRS-14,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
TESS,FALSE,"April 18, 2018",Falcon 9,TESS,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Bangabandhu-1,FALSE,"May 11, 2018",Falcon 9,Bangabandhu-1,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
Iridium NEXT Mission 6,FALSE,"May 22, 2018",Falcon 9,Iridium NEXT 6,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
SES-12,FALSE,"June 4, 2018",Falcon 9,SES-12,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-15,FALSE,"June 29, 2018",Falcon 9,CRS-15,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Telstar 19V,FALSE,"July 22, 2018",Falcon 9,Telstar 19V,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Iridium NEXT Mission 7,FALSE,"July 25, 2018",Falcon 9,Iridium NEXT 7,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
Merah Putih,FALSE,"August 7, 2018",Falcon 9,Telkom-4,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Telstar 18V,FALSE,"September 10, 2018",Falcon 9,Telstar 18V,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
SAOCOM 1A,FALSE,"October 7, 2018",Falcon 9,SAOCOM 1A,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
